Thick dike (pole-pole, pole-dipole, dipole-dipole)
   5.00
 11
0
Type of measurement (0=app. resistivity,1=resistance)
 0
5477
1
0
2     0.0000,0.0     55.0000,0.0     769.4668
2     5.0000,0.0     60.0000,0.0     763.9762
2    10.0000,0.0     65.0000,0.0     757.8989
2    15.0000,0.0     70.0000,0.0     751.1862
2    20.0000,0.0     75.0000,0.0     743.7624
2    25.0000,0.0     80.0000,0.0     735.5254
2    30.0000,0.0     85.0000,0.0     726.3433
2    35.0000,0.0     90.0000,0.0     716.0488
2    40.0000,0.0     95.0000,0.0     704.4302
2    45.0000,0.0    100.0000,0.0     691.2194
2    50.0000,0.0    105.0000,0.0     676.0743
2    55.0000,0.0    110.0000,0.0     658.5563
2    60.0000,0.0    115.0000,0.0     638.1000
2    65.0000,0.0    120.0000,0.0     613.9849
2    70.0000,0.0    125.0000,0.0     585.3483
2    75.0000,0.0    130.0000,0.0     551.4384
2    80.0000,0.0    135.0000,0.0     512.8612
2    85.0000,0.0    140.0000,0.0     475.1361
2    90.0000,0.0    145.0000,0.0     448.7155
2    95.0000,0.0    150.0000,0.0     436.2269
2   100.0000,0.0    155.0000,0.0     432.4689
2   105.0000,0.0    160.0000,0.0     431.8564
2   110.0000,0.0    165.0000,0.0     431.8432
2   115.0000,0.0    170.0000,0.0     431.8887
2   120.0000,0.0    175.0000,0.0     431.9105
2   125.0000,0.0    180.0000,0.0     431.8990
2   130.0000,0.0    185.0000,0.0     431.8636
2   135.0000,0.0    190.0000,0.0     431.8867
2   140.0000,0.0    195.0000,0.0     432.5086
2   145.0000,0.0    200.0000,0.0     436.2751
2   150.0000,0.0    205.0000,0.0     448.7721
2   155.0000,0.0    210.0000,0.0     475.2015
2   160.0000,0.0    215.0000,0.0     512.9364
2   165.0000,0.0    220.0000,0.0     551.5243
2   170.0000,0.0    225.0000,0.0     585.4452
2   175.0000,0.0    230.0000,0.0     614.0930
2   180.0000,0.0    235.0000,0.0     638.2194
2   185.0000,0.0    240.0000,0.0     658.6871
2   190.0000,0.0    245.0000,0.0     676.2167
2   195.0000,0.0    250.0000,0.0     691.3732
2   200.0000,0.0    255.0000,0.0     704.5954
2   205.0000,0.0    260.0000,0.0     716.2255
2   210.0000,0.0    265.0000,0.0     726.5316
2   215.0000,0.0    270.0000,0.0     735.7250
2   220.0000,0.0    275.0000,0.0     743.9734
2   225.0000,0.0    280.0000,0.0     751.4084
2   230.0000,0.0    285.0000,0.0     758.1324
2   235.0000,0.0    290.0000,0.0     764.2209
2   240.0000,0.0    295.0000,0.0     769.7225
2     0.0000,0.0     60.0000,0.0     771.4186
2     5.0000,0.0     65.0000,0.0     765.1227
2    10.0000,0.0     70.0000,0.0     758.1655
2    15.0000,0.0     75.0000,0.0     750.4790
2    20.0000,0.0     80.0000,0.0     741.9670
2    25.0000,0.0     85.0000,0.0     732.5032
2    30.0000,0.0     90.0000,0.0     721.9265
2    35.0000,0.0     95.0000,0.0     710.0336
2    40.0000,0.0    100.0000,0.0     696.5674
2    45.0000,0.0    105.0000,0.0     681.2025
2    50.0000,0.0    110.0000,0.0     663.5248
2    55.0000,0.0    115.0000,0.0     643.0073
2    60.0000,0.0    120.0000,0.0     618.9882
2    65.0000,0.0    125.0000,0.0     590.6960
2    70.0000,0.0    130.0000,0.0     557.5096
2    75.0000,0.0    135.0000,0.0     520.1678
2    80.0000,0.0    140.0000,0.0     484.1099
2    85.0000,0.0    145.0000,0.0     459.2651
2    90.0000,0.0    150.0000,0.0     447.8584
2    95.0000,0.0    155.0000,0.0     444.6814
2   100.0000,0.0    160.0000,0.0     444.3138
2   105.0000,0.0    165.0000,0.0     444.3918
2   110.0000,0.0    170.0000,0.0     444.4737
2   115.0000,0.0    175.0000,0.0     444.5159
2   120.0000,0.0    180.0000,0.0     444.5215
2   125.0000,0.0    185.0000,0.0     444.4905
2   130.0000,0.0    190.0000,0.0     444.4196
2   135.0000,0.0    195.0000,0.0     444.3525
2   140.0000,0.0    200.0000,0.0     444.7303
2   145.0000,0.0    205.0000,0.0     447.9165
2   150.0000,0.0    210.0000,0.0     459.3322
2   155.0000,0.0    215.0000,0.0     484.1866
2   160.0000,0.0    220.0000,0.0     520.2552
2   165.0000,0.0    225.0000,0.0     557.6086
2   170.0000,0.0    230.0000,0.0     590.8070
2   175.0000,0.0    235.0000,0.0     619.1114
2   180.0000,0.0    240.0000,0.0     643.1428
2   185.0000,0.0    245.0000,0.0     663.6728
2   190.0000,0.0    250.0000,0.0     681.3629
2   195.0000,0.0    255.0000,0.0     696.7402
2   200.0000,0.0    260.0000,0.0     710.2189
2   205.0000,0.0    265.0000,0.0     722.1243
2   210.0000,0.0    270.0000,0.0     732.7134
2   215.0000,0.0    275.0000,0.0     742.1896
2   220.0000,0.0    280.0000,0.0     750.7140
2   225.0000,0.0    285.0000,0.0     758.4128
2   230.0000,0.0    290.0000,0.0     765.3821
2   235.0000,0.0    295.0000,0.0     771.6900
2     0.0000,0.0     65.0000,0.0     770.9091
2     5.0000,0.0     70.0000,0.0     763.7487
2    10.0000,0.0     75.0000,0.0     755.8406
2    15.0000,0.0     80.0000,0.0     747.0964
2    20.0000,0.0     85.0000,0.0     737.3969
2    25.0000,0.0     90.0000,0.0     726.5883
2    30.0000,0.0     95.0000,0.0     714.4763
2    35.0000,0.0    100.0000,0.0     700.8160
2    40.0000,0.0    105.0000,0.0     685.2991
2    45.0000,0.0    110.0000,0.0     667.5358
2    50.0000,0.0    115.0000,0.0     647.0359
2    55.0000,0.0    120.0000,0.0     623.1932
2    60.0000,0.0    125.0000,0.0     595.3188
2    65.0000,0.0    130.0000,0.0     562.9061
2    70.0000,0.0    135.0000,0.0     526.7999
2    75.0000,0.0    140.0000,0.0     492.3383
2    80.0000,0.0    145.0000,0.0     468.9535
2    85.0000,0.0    150.0000,0.0     458.5199
2    90.0000,0.0    155.0000,0.0     455.8482
2    95.0000,0.0    160.0000,0.0     455.6850
2   100.0000,0.0    165.0000,0.0     455.8345
2   105.0000,0.0    170.0000,0.0     455.9421
2   110.0000,0.0    175.0000,0.0     455.9976
2   115.0000,0.0    180.0000,0.0     456.0179
2   120.0000,0.0    185.0000,0.0     456.0097
2   125.0000,0.0    190.0000,0.0     455.9663
2   130.0000,0.0    195.0000,0.0     455.8708
2   135.0000,0.0    200.0000,0.0     455.7329
2   140.0000,0.0    205.0000,0.0     455.9070
2   145.0000,0.0    210.0000,0.0     458.5888
2   150.0000,0.0    215.0000,0.0     469.0320
2   155.0000,0.0    220.0000,0.0     492.4271
2   160.0000,0.0    225.0000,0.0     526.9003
2   165.0000,0.0    230.0000,0.0     563.0191
2   170.0000,0.0    235.0000,0.0     595.4447
2   175.0000,0.0    240.0000,0.0     623.3323
2   180.0000,0.0    245.0000,0.0     647.1884
2   185.0000,0.0    250.0000,0.0     667.7016
2   190.0000,0.0    255.0000,0.0     685.4783
2   195.0000,0.0    260.0000,0.0     701.0088
2   200.0000,0.0    265.0000,0.0     714.6824
2   205.0000,0.0    270.0000,0.0     726.8079
2   210.0000,0.0    275.0000,0.0     737.6299
2   215.0000,0.0    280.0000,0.0     747.3428
2   220.0000,0.0    285.0000,0.0     756.1002
2   225.0000,0.0    290.0000,0.0     764.0214
2   230.0000,0.0    295.0000,0.0     771.1949
2     0.0000,0.0     70.0000,0.0     768.2076
2     5.0000,0.0     75.0000,0.0     760.1170
2    10.0000,0.0     80.0000,0.0     751.1802
2    15.0000,0.0     85.0000,0.0     741.2860
2    20.0000,0.0     90.0000,0.0     730.2894
2    25.0000,0.0     95.0000,0.0     718.0059
2    30.0000,0.0    100.0000,0.0     704.2031
2    35.0000,0.0    105.0000,0.0     688.5897
2    40.0000,0.0    110.0000,0.0     670.8004
2    45.0000,0.0    115.0000,0.0     650.3799
2    50.0000,0.0    120.0000,0.0     626.7735
2    55.0000,0.0    125.0000,0.0     599.3672
2    60.0000,0.0    130.0000,0.0     567.7545
2    65.0000,0.0    135.0000,0.0     532.8640
2    70.0000,0.0    140.0000,0.0     499.9189
2    75.0000,0.0    145.0000,0.0     477.8830
2    80.0000,0.0    150.0000,0.0     468.3252
2    85.0000,0.0    155.0000,0.0     466.0937
2    90.0000,0.0    160.0000,0.0     466.1014
2    95.0000,0.0    165.0000,0.0     466.3065
2   100.0000,0.0    170.0000,0.0     466.4305
2   105.0000,0.0    175.0000,0.0     466.4917
2   110.0000,0.0    180.0000,0.0     466.5186
2   115.0000,0.0    185.0000,0.0     466.5252
2   120.0000,0.0    190.0000,0.0     466.5113
2   125.0000,0.0    195.0000,0.0     466.4630
2   130.0000,0.0    200.0000,0.0     466.3520
2   135.0000,0.0    205.0000,0.0     466.1594
2   140.0000,0.0    210.0000,0.0     466.1635
2   145.0000,0.0    215.0000,0.0     468.4055
2   150.0000,0.0    220.0000,0.0     477.9737
2   155.0000,0.0    225.0000,0.0     500.0207
2   160.0000,0.0    230.0000,0.0     532.9783
2   165.0000,0.0    235.0000,0.0     567.8821
2   170.0000,0.0    240.0000,0.0     599.5089
2   175.0000,0.0    245.0000,0.0     626.9293
2   180.0000,0.0    250.0000,0.0     650.5500
2   185.0000,0.0    255.0000,0.0     670.9849
2   190.0000,0.0    260.0000,0.0     688.7885
2   195.0000,0.0    265.0000,0.0     704.4164
2   200.0000,0.0    270.0000,0.0     718.2336
2   205.0000,0.0    275.0000,0.0     730.5314
2   210.0000,0.0    280.0000,0.0     741.5424
2   215.0000,0.0    285.0000,0.0     751.4508
2   220.0000,0.0    290.0000,0.0     760.4018
2   225.0000,0.0    295.0000,0.0     768.5065
2     0.0000,0.0     75.0000,0.0     763.5140
2     5.0000,0.0     80.0000,0.0     754.4211
2    10.0000,0.0     85.0000,0.0     744.3696
2    15.0000,0.0     90.0000,0.0     733.2238
2    20.0000,0.0     95.0000,0.0     720.8096
2    25.0000,0.0    100.0000,0.0     706.9079
2    30.0000,0.0    105.0000,0.0     691.2443
2    35.0000,0.0    110.0000,0.0     673.4770
2    40.0000,0.0    115.0000,0.0     653.1838
2    45.0000,0.0    120.0000,0.0     629.8578
2    50.0000,0.0    125.0000,0.0     602.9527
2    55.0000,0.0    130.0000,0.0     572.1490
2    60.0000,0.0    135.0000,0.0     538.4417
2    65.0000,0.0    140.0000,0.0     506.9296
2    70.0000,0.0    145.0000,0.0     486.1385
2    75.0000,0.0    150.0000,0.0     477.3693
2    80.0000,0.0    155.0000,0.0     475.5225
2    85.0000,0.0    160.0000,0.0     475.6730
2    90.0000,0.0    165.0000,0.0     475.9204
2    95.0000,0.0    170.0000,0.0     476.0532
2   100.0000,0.0    175.0000,0.0     476.1139
2   105.0000,0.0    180.0000,0.0     476.1402
2   110.0000,0.0    185.0000,0.0     476.1517
2   115.0000,0.0    190.0000,0.0     476.1542
2   120.0000,0.0    195.0000,0.0     476.1418
2   125.0000,0.0    200.0000,0.0     476.0950
2   130.0000,0.0    205.0000,0.0     475.9759
2   135.0000,0.0    210.0000,0.0     475.7418
2   140.0000,0.0    215.0000,0.0     475.6038
2   145.0000,0.0    220.0000,0.0     477.4620
2   150.0000,0.0    225.0000,0.0     486.2422
2   155.0000,0.0    230.0000,0.0     507.0451
2   160.0000,0.0    235.0000,0.0     538.5705
2   165.0000,0.0    240.0000,0.0     572.2922
2   170.0000,0.0    245.0000,0.0     603.1108
2   175.0000,0.0    250.0000,0.0     630.0310
2   180.0000,0.0    255.0000,0.0     653.3723
2   185.0000,0.0    260.0000,0.0     673.6807
2   190.0000,0.0    265.0000,0.0     691.4633
2   195.0000,0.0    270.0000,0.0     707.1423
2   200.0000,0.0    275.0000,0.0     721.0594
2   205.0000,0.0    280.0000,0.0     733.4889
2   210.0000,0.0    285.0000,0.0     744.6500
2   215.0000,0.0    290.0000,0.0     754.7166
2   220.0000,0.0    295.0000,0.0     763.8246
2     0.0000,0.0     80.0000,0.0     756.9753
2     5.0000,0.0     85.0000,0.0     746.8006
2    10.0000,0.0     90.0000,0.0     735.5402
2    15.0000,0.0     95.0000,0.0     723.0313
2    20.0000,0.0    100.0000,0.0     709.0676
2    25.0000,0.0    105.0000,0.0     693.3919
2    30.0000,0.0    110.0000,0.0     675.6852
2    35.0000,0.0    115.0000,0.0     655.5566
2    40.0000,0.0    120.0000,0.0     632.5430
2    45.0000,0.0    125.0000,0.0     606.1592
2    50.0000,0.0    130.0000,0.0     576.1617
2    55.0000,0.0    135.0000,0.0     543.5967
2    60.0000,0.0    140.0000,0.0     513.4342
2    65.0000,0.0    145.0000,0.0     493.7912
2    70.0000,0.0    150.0000,0.0     485.7330
2    75.0000,0.0    155.0000,0.0     484.2227
2    80.0000,0.0    160.0000,0.0     484.4924
2    85.0000,0.0    165.0000,0.0     484.7711
2    90.0000,0.0    170.0000,0.0     484.9066
2    95.0000,0.0    175.0000,0.0     484.9617
2   100.0000,0.0    180.0000,0.0     484.9819
2   105.0000,0.0    185.0000,0.0     484.9908
2   110.0000,0.0    190.0000,0.0     484.9982
2   115.0000,0.0    195.0000,0.0     485.0042
2   120.0000,0.0    200.0000,0.0     484.9988
2   125.0000,0.0    205.0000,0.0     484.9584
2   130.0000,0.0    210.0000,0.0     484.8375
2   135.0000,0.0    215.0000,0.0     484.5728
2   140.0000,0.0    220.0000,0.0     484.3164
2   145.0000,0.0    225.0000,0.0     485.8389
2   150.0000,0.0    230.0000,0.0     493.9087
2   155.0000,0.0    235.0000,0.0     513.5641
2   160.0000,0.0    240.0000,0.0     543.7408
2   165.0000,0.0    245.0000,0.0     576.3211
2   170.0000,0.0    250.0000,0.0     606.3344
2   175.0000,0.0    255.0000,0.0     632.7343
2   180.0000,0.0    260.0000,0.0     655.7640
2   185.0000,0.0    265.0000,0.0     675.9089
2   190.0000,0.0    270.0000,0.0     693.6319
2   195.0000,0.0    275.0000,0.0     709.3239
2   200.0000,0.0    280.0000,0.0     723.3038
2   205.0000,0.0    285.0000,0.0     735.8290
2   210.0000,0.0    290.0000,0.0     747.1055
2   215.0000,0.0    295.0000,0.0     757.2963
3     0.0000,0.0      5.0000,0.0     10.0000,0.0     316.5029
3     5.0000,0.0     10.0000,0.0     15.0000,0.0     317.2733
3    10.0000,0.0     15.0000,0.0     20.0000,0.0     317.4142
3    15.0000,0.0     20.0000,0.0     25.0000,0.0     317.4837
3    20.0000,0.0     25.0000,0.0     30.0000,0.0     317.5339
3    25.0000,0.0     30.0000,0.0     35.0000,0.0     317.5783
3    30.0000,0.0     35.0000,0.0     40.0000,0.0     317.6226
3    35.0000,0.0     40.0000,0.0     45.0000,0.0     317.6701
3    40.0000,0.0     45.0000,0.0     50.0000,0.0     317.7231
3    45.0000,0.0     50.0000,0.0     55.0000,0.0     317.7842
3    50.0000,0.0     55.0000,0.0     60.0000,0.0     317.8558
3    55.0000,0.0     60.0000,0.0     65.0000,0.0     317.9409
3    60.0000,0.0     65.0000,0.0     70.0000,0.0     318.0435
3    65.0000,0.0     70.0000,0.0     75.0000,0.0     318.1683
3    70.0000,0.0     75.0000,0.0     80.0000,0.0     318.3219
3    75.0000,0.0     80.0000,0.0     85.0000,0.0     318.5132
3    80.0000,0.0     85.0000,0.0     90.0000,0.0     318.7547
3    85.0000,0.0     90.0000,0.0     95.0000,0.0     319.0641
3    90.0000,0.0     95.0000,0.0    100.0000,0.0     319.4680
3    95.0000,0.0    100.0000,0.0    105.0000,0.0     320.0059
3   100.0000,0.0    105.0000,0.0    110.0000,0.0     320.7398
3   105.0000,0.0    110.0000,0.0    115.0000,0.0     321.7681
3   110.0000,0.0    115.0000,0.0    120.0000,0.0     323.2470
3   115.0000,0.0    120.0000,0.0    125.0000,0.0     325.4088
3   120.0000,0.0    125.0000,0.0    130.0000,0.0     328.4626
3   125.0000,0.0    130.0000,0.0    135.0000,0.0     331.7004
3   130.0000,0.0    135.0000,0.0    140.0000,0.0     329.9340
3   135.0000,0.0    140.0000,0.0    145.0000,0.0     315.1539
3   140.0000,0.0    145.0000,0.0    150.0000,0.0     297.9442
3   145.0000,0.0    150.0000,0.0    155.0000,0.0     288.3236
3   150.0000,0.0    155.0000,0.0    160.0000,0.0     283.2388
3   155.0000,0.0    160.0000,0.0    165.0000,0.0     284.9346
3   160.0000,0.0    165.0000,0.0    170.0000,0.0     293.0588
3   165.0000,0.0    170.0000,0.0    175.0000,0.0     300.6447
3   170.0000,0.0    175.0000,0.0    180.0000,0.0     305.6435
3   175.0000,0.0    180.0000,0.0    185.0000,0.0     308.7921
3   180.0000,0.0    185.0000,0.0    190.0000,0.0     310.8395
3   185.0000,0.0    190.0000,0.0    195.0000,0.0     312.2294
3   190.0000,0.0    195.0000,0.0    200.0000,0.0     313.2114
3   195.0000,0.0    200.0000,0.0    205.0000,0.0     313.9296
3   200.0000,0.0    205.0000,0.0    210.0000,0.0     314.4703
3   205.0000,0.0    210.0000,0.0    215.0000,0.0     314.8875
3   210.0000,0.0    215.0000,0.0    220.0000,0.0     315.2159
3   215.0000,0.0    220.0000,0.0    225.0000,0.0     315.4789
3   220.0000,0.0    225.0000,0.0    230.0000,0.0     315.6927
3   225.0000,0.0    230.0000,0.0    235.0000,0.0     315.8686
3   230.0000,0.0    235.0000,0.0    240.0000,0.0     316.0153
3   235.0000,0.0    240.0000,0.0    245.0000,0.0     316.1387
3   240.0000,0.0    245.0000,0.0    250.0000,0.0     316.2440
3   245.0000,0.0    250.0000,0.0    255.0000,0.0     316.3347
3   250.0000,0.0    255.0000,0.0    260.0000,0.0     316.4140
3   255.0000,0.0    260.0000,0.0    265.0000,0.0     316.4847
3   260.0000,0.0    265.0000,0.0    270.0000,0.0     316.5492
3   265.0000,0.0    270.0000,0.0    275.0000,0.0     316.6104
3   270.0000,0.0    275.0000,0.0    280.0000,0.0     316.6728
3   275.0000,0.0    280.0000,0.0    285.0000,0.0     316.7445
3   280.0000,0.0    285.0000,0.0    290.0000,0.0     316.8500
3   285.0000,0.0    290.0000,0.0    295.0000,0.0     317.1345
3     0.0000,0.0     10.0000,0.0     15.0000,0.0     355.1809
3     5.0000,0.0     15.0000,0.0     20.0000,0.0     355.9995
3    10.0000,0.0     20.0000,0.0     25.0000,0.0     356.2816
3    15.0000,0.0     25.0000,0.0     30.0000,0.0     356.4601
3    20.0000,0.0     30.0000,0.0     35.0000,0.0     356.6075
3    25.0000,0.0     35.0000,0.0     40.0000,0.0     356.7485
3    30.0000,0.0     40.0000,0.0     45.0000,0.0     356.8958
3    35.0000,0.0     45.0000,0.0     50.0000,0.0     357.0575
3    40.0000,0.0     50.0000,0.0     55.0000,0.0     357.2411
3    45.0000,0.0     55.0000,0.0     60.0000,0.0     357.4538
3    50.0000,0.0     60.0000,0.0     65.0000,0.0     357.7043
3    55.0000,0.0     65.0000,0.0     70.0000,0.0     358.0029
3    60.0000,0.0     70.0000,0.0     75.0000,0.0     358.3629
3    65.0000,0.0     75.0000,0.0     80.0000,0.0     358.8017
3    70.0000,0.0     80.0000,0.0     85.0000,0.0     359.3427
3    75.0000,0.0     85.0000,0.0     90.0000,0.0     360.0178
3    80.0000,0.0     90.0000,0.0     95.0000,0.0     360.8723
3    85.0000,0.0     95.0000,0.0    100.0000,0.0     361.9712
3    90.0000,0.0    100.0000,0.0    105.0000,0.0     363.4110
3    95.0000,0.0    105.0000,0.0    110.0000,0.0     365.3377
3   100.0000,0.0    110.0000,0.0    115.0000,0.0     367.9754
3   105.0000,0.0    115.0000,0.0    120.0000,0.0     371.6654
3   110.0000,0.0    120.0000,0.0    125.0000,0.0     376.8741
3   115.0000,0.0    125.0000,0.0    130.0000,0.0     383.8745
3   120.0000,0.0    130.0000,0.0    135.0000,0.0     390.5647
3   125.0000,0.0    135.0000,0.0    140.0000,0.0     384.6611
3   130.0000,0.0    140.0000,0.0    145.0000,0.0     347.1405
3   135.0000,0.0    145.0000,0.0    150.0000,0.0     298.2544
3   140.0000,0.0    150.0000,0.0    155.0000,0.0     266.8283
3   145.0000,0.0    155.0000,0.0    160.0000,0.0     254.1382
3   150.0000,0.0    160.0000,0.0    165.0000,0.0     256.4825
3   155.0000,0.0    165.0000,0.0    170.0000,0.0     274.0356
3   160.0000,0.0    170.0000,0.0    175.0000,0.0     297.3978
3   165.0000,0.0    175.0000,0.0    180.0000,0.0     315.4170
3   170.0000,0.0    180.0000,0.0    185.0000,0.0     327.0242
3   175.0000,0.0    185.0000,0.0    190.0000,0.0     334.4429
3   180.0000,0.0    190.0000,0.0    195.0000,0.0     339.3592
3   185.0000,0.0    195.0000,0.0    200.0000,0.0     342.7524
3   190.0000,0.0    200.0000,0.0    205.0000,0.0     345.1822
3   195.0000,0.0    205.0000,0.0    210.0000,0.0     346.9783
3   200.0000,0.0    210.0000,0.0    215.0000,0.0     348.3421
3   205.0000,0.0    215.0000,0.0    220.0000,0.0     349.4013
3   210.0000,0.0    220.0000,0.0    225.0000,0.0     350.2397
3   215.0000,0.0    225.0000,0.0    230.0000,0.0     350.9139
3   220.0000,0.0    230.0000,0.0    235.0000,0.0     351.4638
3   225.0000,0.0    235.0000,0.0    240.0000,0.0     351.9180
3   230.0000,0.0    240.0000,0.0    245.0000,0.0     352.2974
3   235.0000,0.0    245.0000,0.0    250.0000,0.0     352.6181
3   240.0000,0.0    250.0000,0.0    255.0000,0.0     352.8923
3   245.0000,0.0    255.0000,0.0    260.0000,0.0     353.1299
3   250.0000,0.0    260.0000,0.0    265.0000,0.0     353.3393
3   255.0000,0.0    265.0000,0.0    270.0000,0.0     353.5279
3   260.0000,0.0    270.0000,0.0    275.0000,0.0     353.7036
3   265.0000,0.0    275.0000,0.0    280.0000,0.0     353.8765
3   270.0000,0.0    280.0000,0.0    285.0000,0.0     354.0638
3   275.0000,0.0    285.0000,0.0    290.0000,0.0     354.3063
3   280.0000,0.0    290.0000,0.0    295.0000,0.0     354.7642
